iter	Passed	Remaining
412	2952	4196
413	2958	4188
414	2965	4179
415	2969	4169
416	2976	4161
417	2983	4153
418	2989	4145
419	2996	4138
420	3003	4130
421	3010	4122
422	3016	4114
423	3023	4106
424	3029	4099
425	3036	4091
426	3042	4082
427	3048	4074
428	3055	4067
429	3062	4059
430	3069	4052
431	3076	4044
432	3082	4036
433	3089	4029
434	3096	4021
435	3103	4014
436	3109	4006
437	3117	3999
438	3124	3993
439	3130	3984
440	3137	3977
441	3144	3970
442	3152	3963
443	3159	3956
444	3166	3949
445	3174	3942
446	3182	3937
447	3189	3930
448	3196	3922
449	3203	3915
450	3210	3908
451	3217	3900
452	3224	3893
453	3231	3886
454	3239	3880
455	3246	3873
456	3252	3865
457	3259	3857
458	3266	3850
459	3273	3842
460	3279	3834
461	3286	3827
462	3293	3819
463	3299	3811
464	3306	3803
465	3312	3796
466	3319	3788
467	3326	3781
468	3333	3774
469	3338	3764
470	3344	3756
471	3350	3747
472	3357	3740
473	3363	3732
474	3370	3724
475	3376	3717
476	3382	3708
477	3387	3699
478	3394	3691
479	3401	3684
480	3406	3675
481	3413	3668
482	3417	3658
483	3424	3650
484	3431	3643
485	3438	3636
486	3445	3629
487	3453	3623
488	3460	3616
489	3467	3608
490	3473	3600
491	3480	3593
492	3487	3586
493	3495	3580
494	3501	3572
495	3507	3564
496	3515	3558
497	3523	3551
498	3528	3542
499	3533	3533
500	3538	3524
501	3542	3514
502	3549	3507
503	3556	3499
504	3560	3489
505	3565	3481
506	3570	3471
507	3573	3460
508	3581	3455
509	3585	3445
510	3598	3443
511	3607	3438
512	3619	3436
513	3626	3428
514	3631	3420
515	3639	3413
516	3643	3403
517	3649	3395
518	3652	3385
519	3658	3376
520	3664	3368
521	3669	3360
522	3675	3351
523	3680	3343
524	3684	3333
525	3688	3324
526	3695	3316
527	3700	3308
528	3706	3300
529	3713	3293
530	3720	3286
531	3727	3278
532	3732	3270
533	3738	3262
534	3743	3253
535	3749	3245
536	3756	3238
537	3760	3229
538	3767	3222
539	3772	3213
540	3778	3205
541	3785	3198
542	3791	3191
543	3797	3183
544	3804	3175
545	3809	3167
546	3816	3160
547	3822	3152
548	3828	3144
549	3834	3136
550	3840	3129
551	3847	3122
552	3852	3114
553	3859	3106
554	3864	3098
555	3871	3091
556	3878	3084
557	3884	3077
558	3892	3070
559	3900	3064
560	3907	3058
561	3915	3051
562	3922	3044
563	3929	3037
564	3936	3030
565	3944	3024
566	3952	3018
567	3960	3011
568	3967	3005
569	3977	3000
570	3985	2994
571	3991	2986
572	3996	2978
573	4004	2971
574	4011	2964
575	4017	2957
576	4024	2950
577	4031	2943
578	4038	2936
579	4045	2929
580	4051	2921
581	4057	2914
582	4064	2907
583	4071	2899
584	4077	2892
585	4084	2885
586	4090	2877
587	4096	2870
588	4103	2863
589	4109	2855
